id,longitude,latitude,type
1,121.43167,31.026482,1
2,121.43137,31.026343,1
3,121.431042,31.026218,1
4,121.431124,31.02607,1
5,121.430966,31.025978,1
6,121.431191,31.025854,1
7,121.431479,31.026014,1
8,121.431657,31.026065,1
9,121.431823,31.026118,1
10,121.43195,31.025778,1
11,121.431753,31.025709,1
12,121.431549,31.025644,1
13,121.43119,31.025534,1
14,121.431259,31.025693,1
15,121.431371,31.025472,1
16,121.431452,31.02529,1
17,121.430287,31.02485,1
18,121.430187,31.024704,1
19,121.430355,31.024986,1
20,121.430279,31.025143,1
21,121.430213,31.025299,1
22,121.430367,31.025365,1
23,121.430343,31.025518,1
24,121.43027,31.025676,1
25,121.429887,31.025663,1
26,121.429885,31.02576,1
27,121.42985,31.025932,1
28,121.430265,31.025743,1
29,121.430459,31.02581,1
30,121.430632,31.025873,1
31,121.430794,31.025942,1
32,121431014,31.025483,1
33,121.43083,31.025417,1
34,121.430657,31.025368,1
35,121.43048,31.025307,1
36,121.430415,31.025209,1
37,121.430513,31.025028,2
38,121.430706,31.025085,2
39,121.43103,31.025144,2
40,121.431112,31.025144,2
41,121.431677,31.025413,2
42,121.431779,31.025401,2
43,121.431898,31.025486,2
44,121.432036,31.025524,2
45,121.431902,31.025681,2
46,121.431833,31.025686,2
47,121.431777,31.025613,2
48,121.431019,31.025373,2
49,121.430976,31.025327,2
50,121.43074,31.025273,2
51,121.430661,31.025264,2
52,121.431656,31.025979,2
53,121.431718,31.026017,2
54,121.431576,31.026397,2
55,121.431505,31.026381,2
56,121.431468,31.026359,2
57,121.431216,31.025223,3
58,121.432145,31.025577,3
59,121.431348,31.025512,3
60,121.431105,31.026026,3
61,121.431865,31.026226,3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
